--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                     DescribeInstancePatches                                                                                    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                            Patches                                                                                           ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
|| Classification | InstalledTime  |                          KBId                           | Severity   |      State      |                               Title                               ||
||  Bugfix        |  1521826905.0  |  bzip2-libs.x86_64                                      |  None      |  Installed      |  bzip2-libs.x86_64:0:1.0.6-13.el7                                 ||
||  Bugfix        |  1568028358.0  |  cairo.x86_64                                           |  None      |  Installed      |  cairo.x86_64:0:1.15.12-4.el7                                     ||
||  Bugfix        |  1569397945.0  |  cairo-gobject.x86_64                                   |  None      |  Installed      |  cairo-gobject.x86_64:0:1.15.12-4.el7                             ||
||  Bugfix        |  1572864761.0  |  cairomm.x86_64                                         |  None      |  Installed      |  cairomm.x86_64:0:1.12.0-1.el7                                    ||
||  Bugfix        |  1570703388.0  |  checkpolicy.x86_64                                     |  None      |  Installed      |  checkpolicy.x86_64:0:2.5-8.el7                                   ||
||  Bugfix        |  1572864851.0  |  cheese.x86_64                                          |  None      |  Installed      |  cheese.x86_64:2:3.28.0-1.el7                                     ||
||  Bugfix        |  1572864824.0  |  cheese-libs.x86_64                                     |  None      |  Installed      |  cheese-libs.x86_64:2:3.28.0-1.el7                                ||
||  Bugfix        |  1521826904.0  |  chkconfig.x86_64                                       |  None      |  Installed      |  chkconfig.x86_64:0:1.7.4-1.el7                                   ||
||  Bugfix        |  1570703421.0  |  chrony.x86_64                                          |  None      |  Installed      |  chrony.x86_64:0:3.4-1.el7                                        ||
||  Bugfix        |  1570703423.0  |  cloud-utils-growpart.noarch                            |  None      |  Installed      |  cloud-utils-growpart.noarch:0:0.29-5.el7                         ||
||  Bugfix        |  1572864810.0  |  clutter.x86_64                                         |  None      |  Installed      |  clutter.x86_64:0:1.26.2-2.el7                                    ||
||  Bugfix        |  1572864810.0  |  clutter-gst2.x86_64                                    |  None      |  Installed      |  clutter-gst2.x86_64:0:2.0.18-1.el7                               ||
||  Bugfix        |  1572864810.0  |  clutter-gst3.x86_64                                    |  None      |  Installed      |  clutter-gst3.x86_64:0:3.0.26-1.el7                               ||
